Comp Ch 3,Comp Ch 4
0.0944716,-0.0485632
0.203348,-0.0298386
0.348666,-0.0231991
0.389078,-0.0450778
0.179416,-0.0151457
-0.26461,0.0242668
-0.405498,0.0319418
-0.223607,0.0316881
-0.0393309,0.0328309
0.154121,0.0294212
0.363914,0.00147536
0.433736,-0.0202374
0.297858,-0.0119141
0.0134989,-0.000378452
-0.607802,-0.00363819
-0.9172,-0.00237637
-0.500535,-0.00446796
-0.11129,-0.017997
0.0474262,-0.0211096
0.205072,-0.0124962
0.462312,-0.00560173
0.672695,0.00375773
0.749875,0.0176077
0.328882,0.00140227
-0.036493,-0.0226998
-0.111125,-0.00957336
-0.446541,-0.00414517
-0.483805,-0.0202201
-0.541677,0.00272298
-0.287577,0.0203036
-0.0527548,0.0252643
-0.0387868,0.0259694
0.110784,-0.00177203
-0.0204664,-0.00684429
-0.290499,0.0132787
-0.320401,0.0131938
-0.161424,0.00905348
-0.0552832,0.00729048
0.0348533,0.000845101
0.077418,-0.0126342
0.0300507,-0.0112789
-0.0650036,-0.001674
0.0476582,0.00069965
0.201326,-0.00401327
0.228199,-0.0177143
0.289824,-0.037472
0.330605,-0.00789041
0.289416,-0.0071482
0.213876,-0.0241378
0.149274,0.00498785
0.235916,0.00991998
0.0955698,-0.0277427
-0.180188,0.00914499
0.339059,0.0177243
1.31564,-0.0135417
1.1589,-0.00413423
-0.299096,0.00977818
-1.80119,0.0228856
-1.64369,0.00880634
-0.70316,-0.00146462
-0.226734,-0.00639701
-0.026247,0.0058079
0.0783222,0.0211229
0.15642,0.0088679
0.156956,-0.00146318
0.113629,0.00049011
0.0684784,0.00590568
-0.0165079,-0.0073644
-0.104695,-0.00858102
-0.0563576,0.00517758
-0.0176014,0.00401531
-0.0704075,0.0013191
-0.0961831,0.00412639
-0.00154866,0.00518808
0.158645,-0.000259841
0.283139,-0.00248143
0.349848,-0.00601486
0.317034,-0.0156748
0.183945,-0.0158687
0.00676937,0.0165232
0.175171,0.0222272
0.365618,0.017868
0.252843,0.0138858
-0.0591898,0.00563418
-0.242384,-0.0150878
-0.37209,-0.00882414
-0.416276,-0.00208841
-0.335586,-0.00715738
-0.206249,0.00620096
-0.0239244,-5.81e-05
0.102419,-0.0145775
0.0304779,-0.015501
-0.102941,0.00593453
-0.0588636,0.00854719
0.0185649,0.0130693
0.101233,0.0113073
0.172026,-0.0112317
0.141789,-0.019811
0.0169805,0.00992264
-0.0273601,0.00976218
0.109864,0.00654581
0.206351,-0.000453292
0.130777,-0.0266757
-0.0331522,-0.0239223
0.0867314,0.00585497
0.539239,0.00616525
0.732619,-0.00679921
0.551208,-0.00730589
-0.191261,-0.0101532
-1.13711,0.00153194
-0.896571,0.00712898
-0.400108,0.00340627
-0.121197,0.0140921
-0.0701925,0.0209579
0.0084507,0.0242327
0.0261591,0.0288845
0.0534565,0.034248
0.168483,0.0432627
0.0980614,0.0342697
-0.0797219,-0.00761236
-0.0963667,-0.0377158
-0.179658,-0.0578995
-0.216306,-0.0694847
-0.0699721,-0.090374
0.158327,-0.122993
0.256795,-0.123538
0.240505,-0.0386765
0.0963798,-0.00116655
-0.0315189,0.0266828
0.0627233,0.0679917
0.239237,0.0683392
0.242505,0.0511228
-0.00328825,0.0352848
-0.284088,0.0354346
-0.16244,0.0432797
0.139086,0.0433536
0.27673,0.0400336
0.209618,0.0437434
0.187707,0.0571506
0.206213,0.0406948
-0.402527,-0.000283361
-0.9191,-0.00839131
-0.475381,-0.0112564
0.0116388,-0.017571
0.138994,-0.0290187
0.137166,-0.0310127
0.139362,0.0116651
0.233689,0.00902887
0.252528,-0.00710799
0.0857886,-0.0155794
-0.185225,-0.0175501
-0.282819,-0.0116682
-0.126861,-0.0106991
-0.0369439,-0.00754806
-0.0224608,0.000417462
-0.0153227,-0.00403428
0.0243649,-0.015875
0.0924311,-0.00491167
0.178945,-0.00716077
0.219129,-0.00549561
0.397807,-0.00819081
0.646285,-0.0102068
0.62202,-0.00467292
0.259421,0.00223435
-0.336984,-0.00047571
-0.536616,-0.00074524
-0.560573,0.00566945
-0.561824,0.00897921
-0.319119,0.0218122
-0.077148,0.0280995
-0.0201298,0.0295852
-0.0860378,0.0264941
-0.0931734,0.0134157
-0.0075541,0.00508948
0.0796472,0.0035466
0.0790701,-0.000859882
0.0954903,-0.000934308
0.266089,-0.003358
0.333122,-0.00918167
0.200748,0.00325725
-0.00530022,0.00622926
-0.0300681,-0.00746792
0.0329288,-0.0337019
-0.134111,-0.0357089
-0.316798,0.00138579
-0.232118,0.0216643
-0.0022211,-0.00537893
