Comp Ch 3,Comp Ch 4
-0.024303,0.00427
-0.0114015,-0.0123589
-0.00114085,-0.0212122
-0.0177945,0.00144636
-0.0130927,0.013239
0.00552388,0.0148502
0.0301758,0.0163228
0.0418567,0.0181646
0.039257,-4.44e-05
0.029883,-0.0285468
0.0119842,-0.0264217
-0.00433677,-0.0165788
-0.0360921,-0.00170097
-0.11166,0.00539897
-0.129453,0.0083533
-0.0905592,0.00607161
-0.0268111,0.00558757
0.0341129,-0.00135265
0.108637,-0.00806648
0.141283,-0.0112492
0.0164041,0.00236974
-0.127168,0.0194854
-0.12756,0.0257726
-0.0664233,0.0211433
0.0207276,0.0132658
0.106624,-0.0147024
0.144878,-0.0265183
0.123095,-0.00711994
0.0668092,-0.00511558
0.022238,-0.000710806
0.00825457,0.00957811
0.00518794,0.00980062
-0.00834242,0.0032126
-0.0315475,0.00019481
-0.0391617,-0.0150464
-0.0255429,-0.0201576
-0.00301356,0.0255401
0.00367362,0.00875352
-0.00672175,0.00319715
-0.013161,-0.0014996
-0.014635,-0.0281773
-0.0116696,-0.0521203
0.001194,-0.0422042
0.00350804,-0.0200099
-0.00465369,-0.0159074
-0.0193818,-0.0109163
-0.0325498,0.0210389
-0.0378769,0.0570218
-0.0278006,0.0375102
-0.00245145,0.0215333
0.00531696,0.0103161
-0.00712514,-0.00218988
0.000480867,0.00273814
0.0213907,0.0130831
0.0223558,0.0166895
0.0149301,0.0131444
0.00861415,3.23e-05
0.00901583,-0.0242404
0.0088389,-0.0445516
0.00554873,-0.033843
0.00708495,-0.0212142
0.0067026,-0.00806531
-0.00149645,0.0125045
0.00976803,0.0269101
0.0211189,0.0310155
-0.0166828,0.0300918
-0.063784,0.0155561
-0.101797,0.00279341
-0.0510604,0.010946
0.0216029,0.0247523
0.03343,0.017447
0.0161512,0.00757601
0.0255977,0.00737481
0.0250968,-0.00241245
0.0115199,-0.0373584
-0.032284,-0.0527951
-0.0396233,-0.0342817
0.0137324,-0.020995
0.0560763,-0.00587444
0.0702368,0.00413754
0.0578365,0.0128511
0.0382133,0.0106823
0.0131599,0.021497
-0.00667438,0.0124818
-0.0132184,-0.00626264
-0.0165822,0.00631403
-0.0133025,0.0234112
-0.0115503,0.0117017
-0.0116721,-0.00715488
-0.0153236,0.000279884
-0.0201712,-0.00352962
-0.0166867,-0.025202
-0.00891562,-0.0274741
0.00259203,-0.014594
0.00621491,-0.0128429
-0.0002762,-0.00037305
-0.00721004,0.0160368
-0.00929621,0.0225593
-0.00614087,0.0224862
-0.00365041,0.0148873
-0.000847911,-0.00216903
-0.00383474,-0.00500643
-0.0213694,0.0015926
-0.0252937,0.000461664
-0.00923329,0.00137949
0.00611383,0.00250839
0.00815427,0.000185939
0.01128,-0.0185492
0.0118309,-0.0405524
0.0137447,-0.0298702
0.0135713,-0.0150131
0.0171262,-0.00252287
0.0128936,-0.00258514
-0.0038539,0.0137426
-0.00291552,0.0207976
0.0124719,0.0196217
0.0020253,0.0104289
-0.0218935,-0.00894957
-0.0439681,0.00143516
-0.0713394,0.0211716
-0.0457138,0.0170926
-0.00544826,0.01375
0.041624,0.0152116
0.0578445,0.00724149
0.0684204,-0.0179609
0.0410867,-0.0335316
-0.0312528,-0.0249632
-0.0467956,-0.0175504
-0.0289571,-0.00414989
-0.000522265,0.0120078
0.0262755,0.0204134
0.0628547,0.0183721
0.0686181,0.0187549
0.0310361,0.00105564
-0.0206557,-0.00907967
-0.100271,0.00311101
-0.102009,0.0105814
-0.0506107,0.00845132
0.00833972,0.00784592
0.0530569,0.00808346
0.0821309,-0.0070833
0.0675289,-0.0351832
0.0255952,-0.0393063
-0.00329165,-0.0331221
-0.00153723,-0.0286414
-9.04e-05,-0.00431684
-0.00387404,0.0161404
0.000217624,0.0223942
0.00661465,0.0226451
0.00482795,0.02164
0.00185808,0.0062274
-0.0023973,0.00167721
-0.0073957,0.0169197
-0.012713,0.022087
-0.0130504,0.0077312
-0.0123649,0.00356375
-0.0119506,0.00349732
-0.0136929,-0.0104782
-0.00825589,-0.0323849
-0.0164826,-0.0273743
-0.0184372,-0.0171645
-0.0147625,-0.0123728
-0.00643934,-0.00177996
0.00728001,0.0128942
0.019874,0.0134534
0.0025597,0.0140074
-0.0190412,0.00346185
-0.0163425,-0.0193917
-0.0154439,-0.0213071
-0.0152367,0.00201806
-0.0117663,0.0150615
-0.0234255,0.0265992
-0.0338358,0.032817
-0.0209482,0.0266524
0.00452882,-0.00653957
0.0421131,-0.0278793
0.0726028,-0.0201401
0.0656791,-0.0189818
0.0334286,-0.00915767
0.00908622,0.00522786
-0.00560676,0.011715
-0.00440107,0.0109661
0.00724771,0.0127093
0.0154917,-0.00286287
0.00658514,-0.0138123
-0.0138375,0.000349103
-0.0288587,0.0111698
-0.0430947,0.0118015
-0.0618387,0.012567
-0.0617739,0.0157066
-0.05247,0.00660374
-0.0175539,-0.0293577
0.0453192,-0.0416879
0.0647623,-0.0309601
0.0646555,-0.0161222
0.0457367,-0.00567773
0.0133942,0.0104162
-0.001208,0.0239316
0.0122811,0.0263895
0.0277189,0.0195966
0.0241624,-0.00442914
0.00914672,-0.0179462
-0.00448994,2.29e-06
-0.00805755,0.0158213
-0.0124561,0.0166697
-0.0181523,0.0211244
-0.0226218,0.0148585
-0.0155337,-0.0127518
-0.00555283,-0.0291695
-0.00321457,-0.0256773
-0.0077158,-0.0126005
-0.00683782,-0.00431886
-0.00383015,-0.00313257
-0.0228469,0.0109057
-0.0544786,0.0135298
-0.0566183,0.010501
-0.0382907,0.00120664
-0.00435247,-0.015512
0.0339168,0.00061845
0.0702438,0.017471
0.061962,0.0158879
0.0427994,0.00679132
0.0367854,0.0062072
0.017864,0.0118651
0.00509657,-0.00907413
0.000802492,-0.0312647
-0.0134899,-0.0226901
-0.0270482,-0.0145051
-0.030691,0.00233158
-0.0290838,0.0074424
-0.0208486,0.00141125
0.00253287,-0.00012042
0.0138865,0.00152158
0.0104658,-0.0111038
-0.00947512,-0.0205389
-0.00504295,-0.00446366
0.013353,0.0150494
0.00853928,0.0158754
0.00450736,0.0183668
0.0038826,0.0233826
0.000340845,0.00924393
0.00374924,-0.0158813
-0.00566185,-0.0225945
-0.00924176,-0.0156661
0.00755747,-0.0137642
0.0124043,-0.00415356
-0.00472441,0.00590337
-0.010863,0.00871624
-0.00166116,0.0115881
0.00609839,0.0141894
0.00981739,-0.00157666
0.00757785,-0.00810834
-0.00074248,0.00783641
-0.000823703,0.0174537
0.00463659,0.0141218
0.00862035,0.0175459
-0.00143542,0.0200969
-0.00659457,-0.000468798
-0.00287465,-0.0298491
0.000591572,-0.0264282
0.00479905,-0.0141136
0.00390992,-0.00606686
-0.00219534,0.00400793
-0.00833069,0.0114897
-0.0129977,0.00367672
-0.0141309,-0.00250925
-0.0213439,-0.00999031
-0.0163219,-0.0171134
-0.0109501,-0.0197391
-0.0200018,0.0116058
-0.0325685,0.0198728
-0.0299632,0.0131096
-0.0426597,0.0171276
-0.0570879,0.0155845
-0.0188699,-0.00849035
0.0286944,-0.0315734
0.0586774,-0.0241201
0.0890345,-0.0182453
0.0743868,-0.00881362
0.0353825,0.00609752
0.0214857,0.0126129
0.00596795,0.0125354
0.00162543,0.0146217
0.00514313,-0.00322968
0.00917405,-0.0142284
0.00985105,0.0038462
0.0134043,0.0180204
0.0192805,0.0139424
0.0107407,0.0151962
-0.00918122,0.0230621
-0.0228021,0.0128571
-0.0236897,-0.0144143
-0.00972258,-0.0239205
-0.0062761,-0.0148996
-0.0187658,-0.0109894
-0.0546219,0.00293624
-0.080927,0.0141874
-0.0797339,0.00606011
-0.0336742,0.000471157
0.0154212,-0.000398612
0.0483605,-0.0120349
0.0699616,-0.0137525
0.0777808,-0.00271825
0.0509497,0.00209781
0.0163493,0.00469659
-0.0070686,0.00930284
-0.0103482,0.0133657
0.00299238,-0.00344873
0.00712082,-0.0290579
0.00087244,-0.0207992
-0.00429779,-0.00632622
-0.0131396,-0.00019097
-0.0089517,0.00962579
-0.00252833,0.0184718
-0.00488101,0.0142813
-0.0056817,0.00662428
0.00249692,-0.0120566
-0.00789121,-0.0255872
-0.0321515,-0.0194429
-0.0395052,-0.00360553
