Comp Ch 3,Comp Ch 4
0.0691738,0.0231561
0.0402195,0.00646205
0.00564002,-0.00485336
-0.0107012,-0.00777764
-0.0146835,-0.00796712
-0.0162093,-0.00421313
-0.00492345,0.0136049
0.0187724,0.0334733
0.0134711,0.0135901
-0.014633,0.0421305
-0.0289487,0.0852918
-0.00629517,-0.0818839
-0.0060876,-0.0612341
-0.0119459,-0.0122333
-0.0106638,-0.0261803
-0.0330302,-0.0240835
-0.0315962,-0.00712877
-0.00908755,0.0393407
-0.00579907,0.0456452
9.07e-05,0.000507933
-0.00374941,-0.00586932
-0.0218273,-0.0145423
-0.0249466,-0.0325341
0.00068352,0.00904094
0.0363478,0.0265059
0.0444215,-0.0199389
0.0386781,-0.0157565
0.0334711,-0.00560691
0.0223326,-0.00577588
0.00486479,-0.0028111
-0.0233425,0.00191251
-0.0430166,0.00315958
-0.0474291,0.00743457
-0.0259342,0.0136601
-0.000414005,0.024663
0.00585134,0.0208852
0.0200467,-0.00736707
0.0300642,-0.0194897
0.017546,-0.0280343
-0.0175551,-0.0185811
-0.03831,0.0140017
-0.0129885,0.013669
0.0189682,-0.00565027
0.048958,0.0107319
0.0605286,0.0212419
0.0550704,-0.000413816
0.0487209,-0.0297347
0.0337404,-0.0260125
-0.0038257,0.00640405
-0.0316667,0.0395889
-0.0416508,0.0213765
-0.0489102,-0.00606877
-0.0389511,-0.00374598
-0.0141149,-0.00416138
-0.00871515,0.00428702
-0.0229302,0.0399491
-0.0357687,0.0169179
-0.0343057,-0.0296933
-0.0264557,-0.0482342
-0.0142582,-0.0458859
-0.00389053,-0.00296697
-0.002651,0.0117361
-0.0082314,-0.00234659
-0.0112181,-0.00701698
0.00550925,-0.00751362
0.0367684,-0.000938702
0.0588422,0.00502093
0.0660971,0.0152208
0.0475984,0.0525164
0.0228078,0.0324151
0.00389419,-0.00401626
-0.0107001,-0.00553597
-0.0228216,-0.0122358
-0.0277014,-0.00994333
-0.0143581,0.0122385
-0.0156513,0.0513247
-0.0214994,0.0140925
-0.0244249,-0.0377848
-0.0351095,-0.0322872
-0.0385841,-0.0188242
-0.0238167,-0.0179652
-0.00304943,-0.0234506
0.0158874,-2.62e-05
0.0388932,0.0378938
0.0522966,0.0229855
0.0471504,-0.00665619
0.0499205,-0.0183281
0.0488889,-0.0130703
0.0261486,0.00748557
-0.00275333,0.0149209
-0.000830168,-0.00660133
0.00163299,-0.022685
-0.0248116,-0.0235787
-0.0379299,-0.020239
-0.0539308,0.00357727
-0.0728038,0.0155705
-0.0688648,-0.00399857
-0.0311474,-0.0195454
0.0297369,0.0778373
0.0803782,0.169933
0.11225,-0.0322363
0.0919919,-0.130047
0.0242267,-0.0355231
-0.0449683,-0.0197632
-0.0629968,-0.0712053
-0.0200515,-0.0897439
0.0249017,-0.0320611
0.0490985,0.105749
0.0564581,0.100843
0.0414871,-0.0160491
-0.0197752,0.0074809
-0.0752989,0.0366201
-0.0933895,0.00143423
-0.0929482,-0.00840941
-0.0776983,-0.00452767
-0.0556853,0.00313099
-0.00825164,0.019685
0.034989,0.0284605
0.0464149,0.0225776
0.0450908,0.0118476
0.0352491,0.00596383
0.0140066,0.000470143
-0.0217601,-0.00631253
-0.0457862,-0.0115185
-0.0260087,-0.0144936
-0.00676005,-0.0137096
