Comp Ch 3,Comp Ch 4
0.110061,-0.0343168
0.0401252,-0.00961516
-0.0795571,0.00660185
-0.174186,0.0538117
-0.156464,0.0214712
-0.0918565,-0.0562949
-0.0458435,-0.0352872
0.0732998,0.0387517
0.0200424,0.0173031
-0.0157821,0.028663
-0.0600137,-0.0195552
-0.0522765,-0.0348442
0.0104905,0.0355545
0.189295,0.012352
0.215114,-0.0208296
0.100237,-0.0749425
0.0967351,-0.0796084
0.122822,0.0325626
0.0998147,0.0313853
0.0451573,-0.00217358
-0.0690097,-0.0234397
-0.13738,-0.0122733
-0.107845,-0.00796537
-0.113499,-0.00769401
-0.22939,0.052933
-0.207599,0.0657273
0.0412234,0.0506849
0.13853,0.03088
0.104059,-0.0103911
0.0547994,0.00190966
0.00909137,-0.0143607
0.00415702,-0.0111195
0.0402808,0.0107451
0.00992171,0.0406182
-0.00581847,0.111275
-0.0291324,-0.0245724
-0.00148646,-0.0781546
-0.00433508,-0.0437785
-0.0262216,-0.0202051
-0.016489,0.00990567
0.0088437,0.0326792
0.00656658,-0.00688648
-0.00134523,-0.0557459
-0.0136287,-0.048929
-0.0391943,-0.0522953
-0.0384286,-0.052711
-0.0299523,-0.0475366
-0.00447243,-0.0630797
0.0246002,0.0983749
0.0594175,0.137344
0.081442,0.0679096
0.0804268,0.010284
-0.00370689,-0.017539
-0.0981623,-0.0158992
-0.0648227,-0.034798
0.000719772,-0.0536429
0.0368665,-0.0232233
0.0156325,0.0542785
-0.0895764,-0.00100559
-0.1298,0.0354658
-0.0102311,0.0276745
0.0954075,-0.0219071
0.0208505,-0.0465167
-0.0494761,-0.00469597
-0.0356379,-0.0141306
0.014932,0.012624
0.0633715,0.051121
0.0791584,0.0498514
0.0731489,0.0114801
0.0435452,-0.0199549
-0.0173854,-0.0213734
-0.0780749,-0.00842605
-0.090068,-0.0433021
-0.0078171,-0.0416644
0.086464,0.0125318
0.0564196,0.00273625
0.0215398,0.0350359
-0.0237852,0.0665628
-0.0231089,0.00471506
-0.0242224,-0.0409654
-0.0171489,-0.039421
0.000557185,-0.0271426
0.0138012,0.000609398
0.0214026,0.00832145
0.0304937,-0.00926564
0.0189167,0.0238151
0.0107666,0.051044
0.00139835,-0.0324458
0.00194603,-0.028065
-0.0110292,0.0211415
-0.018706,0.0430485
0.000692155,0.0588828
-0.00123049,0.0522627
-0.000631517,0.00352706
0.0067444,-0.0634469
0.0335505,-0.0327145
-0.0371254,0.0687911
-0.126689,0.0314737
-0.102672,-0.0416723
-0.0940009,0.00714035
-0.0367401,-0.0137327
0.0361852,-0.0324118
0.10038,-0.0131237
0.137865,-0.00813069
0.116809,0.000762093
0.0505315,0.0109003
0.00742955,-0.024456
-0.0334064,-0.0255824
-0.0635389,-0.0145373
-0.0532435,0.0034283
-0.0474454,0.00255649
-0.0135086,-0.00918791
-0.0105791,-0.00711467
-0.0395939,-0.00787909
-0.0369711,-0.0227398
0.0400549,0.013474
0.0808237,0.0335224
0.0535058,-0.0672931
0.0266019,-0.0734222
0.00237203,0.0513259
-0.0134043,0.0561116
-0.0152795,0.0558858
0.00103499,0.0141018
-0.0240642,-0.0941781
-0.0753797,-0.0690696
-0.0633313,-0.0191595
-0.0161453,-0.121685
0.0103476,-0.105571
0.0290691,0.0500283
0.0623367,0.073896
0.0485532,0.0476277
-0.00200645,0.0780127
-0.0231832,0.129377
-0.0157294,0.0797945
0.0194204,-0.00175457
0.0418827,0.0458313
0.035218,0.0457026
0.00865197,-0.0438394
-0.0111231,-0.0385215
-0.00978795,0.0581608
0.000654608,0.0650579
0.00794009,0.0420197
-0.0095749,0.00712013
-0.0202936,0.0164775
-0.0178949,0.0192472
-0.00068225,-0.00183482
0.00848962,-0.0378817
-0.00561396,-0.063757
-0.0271717,-0.0488094
-0.0277747,-0.0869889
0.0113511,-0.166361
0.0705963,-0.157861
0.0692894,-0.147222
-0.000345606,-0.0184629
-0.0501257,0.0912819
-0.0574595,0.0747213
-0.0354092,0.0850863
-0.0263936,0.0609679
-0.000522642,0.0569239
0.0256025,0.0804654
0.028194,0.050019
0.00401826,0.0304938
-0.00628508,0.0248297
0.0245545,0.0254971
0.0138716,-0.0260938
-0.0336733,0.0114435
-0.0168941,0.0458937
0.00996259,-0.0498415
0.0145011,-0.120887
0.0171182,-0.119249
0.0339755,-0.00516097
0.00574872,0.0738207
-0.0674111,0.0411464
-0.0859872,0.0201708
-0.0369382,-0.00644847
0.0538512,-0.0115849
0.078097,-0.00886357
0.0652278,-0.0590189
0.049305,-0.0106264
0.0229125,0.00171509
-0.0173817,-0.039807
-0.0145234,0.0152821
-0.0200541,0.0299646
-0.0771177,0.0400572
-0.104907,0.112013
-0.0726979,0.123473
-0.00261811,0.0613633
0.031489,0.000426049
0.00401755,-0.02427
-0.00621576,-0.0927351
-0.0341708,-0.180047
-0.0359682,-0.156674
0.0433698,-0.11039
0.106084,-0.0923699
0.0922358,-0.0076203
0.0892239,0.101682
0.0654946,0.150021
0.0174444,0.130799
-0.0175839,0.151712
-0.0215234,0.0784326
-0.00785302,-0.000308622
0.00069033,-0.0376614
0.00331847,-0.0760654
-0.0053666,-0.0895896
-0.0308034,-0.0763037
-0.037674,-0.00458616
-0.025512,0.0637324
-0.0177914,0.0850217
-0.0158193,0.0114049
-0.0251756,-0.0427039
-0.0401961,-0.0105231
-0.0415633,0.0154196
-0.0357964,-0.00869783
-0.0163013,-0.0257361
0.0178659,-0.0161157
0.0396984,-0.0580038
0.032575,-0.063169
0.0197086,-0.0226343
0.0194287,-0.013459
0.00106841,0.0128964
-0.0200682,0.04182
-0.0358163,0.0702845
-0.0122287,0.0427266
0.00969549,0.0173329
0.0418644,0.0240598
0.0484363,0.0451682
-0.0216954,-0.0534866
-0.0699972,-0.0540598
-0.0322833,-0.0353959
0.0404439,0.0158867
0.0789832,0.0196273
0.109721,-0.0356076
0.0818384,0.0190055
0.0106848,0.0657498
-0.0483067,0.028563
-0.0985897,-0.0140031
-0.100896,0.0512506
-0.0718374,0.0120943
-0.0207072,-0.0651754
0.0422099,0.0131722
0.0546305,0.00206836
0.0268083,-0.0088202
-0.00258588,-0.0557784
0.0010508,-0.107711
0.0127601,-0.0293747
0.00658337,0.032527
-0.00339481,-0.0442115
-0.00510609,-0.014091
-0.00558908,-0.0143249
-0.0176415,-0.0475167
-0.0160102,0.0616088
0.00491352,0.0709841
0.00993814,0.0843532
0.00087604,0.104112
-0.00541742,0.032789
-0.00478388,0.0128994
-0.00176394,0.000832322
0.00875897,0.0208583
0.0123117,0.0179817
0.0224138,0.00508947
-0.0219575,-0.0298329
-0.00588757,-0.00403361
-0.00150921,-0.00363543
-0.0189992,-0.00819672
-0.0208334,0.0144084
-0.0285891,0.103683
-0.0404426,-0.0957917
0.00566071,-0.183166
-0.00619577,-0.10881
-0.0297005,-0.0277721
-0.0304248,-0.0566919
0.0236251,-0.0267477
0.0867191,0.0035706
0.116298,0.0435404
0.0683876,0.0550537
-0.00925147,0.0426524
-0.038201,0.0345306
-0.0433408,0.0229617
-0.0434726,0.0230128
-0.0259197,0.0131236
0.0268847,0.00943278
0.0567582,-0.00281932
0.000623814,0.00880935
-0.0247661,0.0317295
-0.00572379,-0.0695649
0.0224739,-0.0160298
0.0484752,0.042555
0.0516422,-0.0234563
0.0655611,-0.0183462
0.0165337,-0.0428455
-0.0573518,-0.0145294
-0.0673435,0.0164946
-0.0234281,0.0286604
-0.0163705,0.1081
-0.0598621,0.00411067
-0.0630707,-0.0402076
-0.030035,-0.0642352
-0.00592251,-0.0363281
0.026019,0.0194493
0.0484006,-0.0374663
0.0392665,-0.108469
0.0164394,-0.124959
-0.0170683,-0.024645
-0.0661291,0.11455
-0.0922061,0.0978288
-0.0668375,0.0498437
-0.0220864,0.0669742
0.0546504,0.105199
0.0576308,0.101561
0.0282368,0.145977
0.00895776,0.00611377
0.0454192,-0.0486136
0.0927067,-0.0490759
0.107891,-0.0595537
0.0391683,-0.04191
-0.0473387,-0.0420976
-0.0927435,-0.0115121
-0.0576711,0.00865987
-0.00487843,-0.0219917
0.00961681,0.0395155
-0.0128904,0.0261576
-0.0171616,-0.0249202
-0.0034307,-0.0568909
-0.0156473,-0.0282754
-0.0120356,-0.0115382
0.001128,-0.0112146
0.0332234,-0.00333154
0.0472229,0.00876058
0.0140679,0.0336877
0.0220315,0.00153775
0.0128967,-0.0219235
0.0139052,-0.00779816
0.00808069,0.0468985
-0.0282912,0.0522675
-0.0368678,0.0260914
-0.0263864,-0.0413551
-0.00212075,-0.0289553
0.0115385,-0.0058488
-0.00751253,-0.00693907
-0.0109869,-0.00835444
0.0141843,0.0017147
0.047083,-0.0306333
0.0534781,-0.052005
0.0642608,-0.0141326
0.0352805,-0.0150307
-0.0267923,-0.0281194
-0.0866527,-0.0208878
-0.110854,-0.00238374
-0.100567,-0.0158001
-0.115216,0.0364632
-0.0933968,0.0628557
0.0130902,0.100408
0.0986956,0.0960849
0.135117,-0.0187928
0.0711628,-0.110561
-0.0174183,-0.0949479
-0.0551674,-0.106111
-0.0558548,-0.161237
0.0148972,-0.112601
0.0578574,-0.0762241
0.080345,-0.084078
0.0392773,-0.0775753
-0.00847014,0.0146668
0.0132427,0.141414
0.0455096,0.217318
0.00640652,0.203692
-0.0490714,0.116386
-0.0527036,0.0331163
-0.0307449,-0.0211505
0.0176818,-0.0575631
0.0265047,-0.0335905
0.01381,0.0345816
0.00373003,0.137161
0.029088,0.158829
0.0426151,0.0932657
0.00184199,0.0603587
-0.00730155,0.0162864
-0.0584787,0.00475599
-0.0776782,-0.0394619
0.0204222,-0.088466
0.0851673,-0.0514484
0.0568204,-0.0456931
-0.000234638,-0.0555833
-0.0123027,-0.0315202
-0.0346195,-0.0253697
-0.092337,-0.0327818
-0.129469,-0.0324009
-0.0566549,-0.0520184
0.0557882,-0.0148285
0.115288,0.0160646
0.104542,0.0654608
0.0377384,0.0929743
-0.0426913,-0.0382168
-0.122912,-0.0762676
-0.213614,-0.0500069
-0.202002,-0.0314705
-0.0597184,-0.0312901
0.104462,-0.0147158
0.125761,0.0109977
0.0893185,-0.0285247
0.090552,0.0341972
0.0794878,0.012276
0.0494158,-0.0244302
0.0392163,-0.0527706
0.10922,-0.0256963
0.16932,-0.00500835
0.140101,0.00660252
0.0447529,0.0544964
-0.0431666,0.0614311
-0.0794833,0.0474067
-0.113423,0.0541737
-0.16983,0.0353028
-0.151456,0.0126425
-0.0744454,0.0242215
-0.0589734,-0.0405749
-0.0417853,-0.125762
0.0376321,-0.0381213
0.0982502,-0.0925875
0.0929208,-0.0592223
0.0293144,-0.0303957
-0.00210946,0.0689961
-0.0404883,0.0527375
-0.0549695,-0.0113219
-0.0922704,0.0106796
-0.144369,0.0370184
-0.150873,0.00573519
-0.0750298,0.0469082
0.105358,0.134039
0.274319,0.0495158
0.238661,-0.0393149
0.0559959,0.0484049
-0.0319815,0.0589824
-0.0271967,0.0480772
-0.00689804,0.053563
0.00757127,0.00193809
0.00841531,-0.0785305
0.0282644,-0.124168
0.0283563,-0.111156
-0.0281961,-0.102075
-0.0831546,-0.0795639
-0.101562,-0.0614646
-0.0437063,0.048938
0.00596314,0.106165
0.0591581,0.120817
0.0813514,0.111186
0.0286532,0.0292702
-0.0594722,0.0211826
-0.121709,-0.0694184
-0.0606565,-0.237432
0.0769347,-0.120375
0.148106,0.0816756
0.0958965,0.0638462
0.0282489,0.0713236
-0.0252644,0.0934498
-0.0830534,0.0494515
-0.0885249,-0.0393557
