Comp Ch 3,Comp Ch 4
-0.0667638,0.0148772
0.0511087,0.00800072
0.200367,-0.00937584
0.117287,-0.0453049
0.0312503,-0.0498673
0.00154139,0.00782203
-0.0514914,0.0450537
-0.1185,0.0389042
-0.137362,0.0351765
-0.109401,0.0146475
-0.0903695,-0.0116502
-0.00539823,-0.064587
0.0359816,-0.0702125
0.0399474,-0.0593856
0.0828406,-0.0276
0.0960768,0.0302923
0.0655695,0.052529
0.0602263,0.0478663
0.0457662,0.0240375
0.0131883,-0.0361388
0.05382,-0.0346567
0.104832,0.0158122
0.0486036,0.048954
-0.057804,0.00502731
-0.11857,0.00435253
-0.108718,0.00759913
-0.0778587,-0.0109529
-0.0444895,-0.0152399
0.00138772,-0.0127319
0.0364599,-0.00101257
0.0415658,0.00502752
0.0128934,0.0343532
-0.00162664,0.0767789
-0.00659758,0.0429028
-0.0169812,-0.0236685
-0.0124809,-0.0214436
-0.0040093,-0.0148529
-0.00828682,-0.0208884
-0.00204806,-0.0206732
-0.0115775,-0.0117086
-0.0346464,0.000114131
-0.00847983,0.0148603
0.0164866,-0.0147327
0.00845956,-0.0169137
-0.0260801,0.0233805
-0.0498048,0.0172704
-0.0371573,0.0411904
0.019298,0.0452447
0.0577569,-0.031343
0.0388535,0.0189693
0.0202193,-0.00546316
0.0445966,-0.0529502
0.0633194,-0.0306842
0.0305056,-0.0246439
-0.0237364,-0.038508
-0.0533645,-0.0170473
-0.0527989,-0.00824088
-0.042472,0.00152296
-0.0451579,0.00567136
-0.0380627,-0.0175878
-0.0106478,-0.00625437
-0.00774308,0.0146218
-0.00285344,0.0118409
0.0224655,0.00585831
0.0173042,-0.038474
0.0120823,-0.0270071
0.0382379,-0.00215274
0.0666147,0.0167509
0.0374407,0.0253719
0.0101471,0.010198
-0.00144591,-7.62e-05
0.00195496,-0.0101762
0.0162561,-0.0194704
0.0313228,-0.00592193
0.0248664,0.0503602
0.0207671,0.0556281
0.0219425,-0.00704593
-0.00654726,-0.0348933
-0.00663373,-0.00862116
-0.0306981,0.0279649
-0.0659905,0.00704714
-0.0520077,0.000254824
-0.0604944,0.0377801
-0.0518583,0.0545854
-0.00451087,0.0355233
-0.01575,-0.003097
-0.0380759,-0.0124897
-0.0337031,-0.0217002
-0.000884102,0.000474322
0.0530748,-0.0187523
0.0751977,-0.0370614
0.0562827,-0.0290043
0.0381653,-0.0161469
0.0330847,-0.018164
0.0221093,-0.0194707
0.0223754,-0.013265
0.0261859,0.00110476
0.0137649,-0.0144368
